"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00184";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI_unclassified";"alfI_unclassified"
"Otu00185";"Bacteria";"WD272";"WD272_unclassified";"WD272_unclassified";"WD272_unclassified";"";""
"Otu00186";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Myxococcales";"Myxococcales_unclassified";"";""
"Otu00187";"Bacteria";"Bacteroidetes";"Flavobacteria";"Flavobacteriales";"bacII";"bacII-A";"Flavo-A3"
"Otu00188";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00189";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00190";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI-B";"alfI-B_unclassified"
"Otu00191";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu00192";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-B";"Rhodo"
"Otu00193";"Bacteria";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetales_unclassified";"Actinomycetales_unclassified";"Actinomycetales_unclassified"
"Otu00194";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu00195";"Bacteria";"Saccharibacteria";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"";""
"Otu00196";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-B";"betVII-B1"
"Otu00197";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomondales";"gamIII";"gamIII-A";"Acin"
"Otu00198";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"OPB35_soil_group_unclassified";"OPB35_soil_group_unclassified";"";""
"Otu00199";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"GR-WP33-30";"GR-WP33-30_unclassified";"";""
"Otu00200";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Deltaproteobacteria_unclassified";"Deltaproteobacteria_unclassified";"";""
"Otu00201";"Bacteria";"Armatimonadetes";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"";""
